date, voltage
09.08.2021 14:07:49.950,37.69
09.08.2021 14:07:50.882,37.69
09.08.2021 14:07:51.871,37.69
09.08.2021 14:07:52.894,37.69
09.08.2021 14:07:53.885,37.69
09.08.2021 14:07:54.874,37.69
09.08.2021 14:07:55.894,37.69
09.08.2021 14:07:56.885,37.69
09.08.2021 14:07:57.875,37.69
09.08.2021 14:07:58.894,37.69
09.08.2021 14:07:59.931,37.69
09.08.2021 14:08:00.877,37.69
09.08.2021 14:08:01.893,37.69
09.08.2021 14:08:02.883,37.69
09.08.2021 14:08:03.876,37.69
09.08.2021 14:08:04.895,37.69
09.08.2021 14:08:06.538,37.69
09.08.2021 14:08:06.881,37.69
09.08.2021 14:08:07.945,37.69
09.08.2021 14:08:08.914,37.69
09.08.2021 14:08:09.931,37.69
09.08.2021 14:08:10.922,37.69
09.08.2021 14:08:11.970,37.69
09.08.2021 14:08:12.901,37.69
09.08.2021 14:08:13.979,37.69
09.08.2021 14:08:14.915,37.69
09.08.2021 14:08:15.168,37.69
09.08.2021 14:08:15.965,37.69
09.08.2021 14:08:16.179,37.69
09.08.2021 14:08:16.992,37.69
09.08.2021 14:08:17.220,37.69
09.08.2021 14:08:17.947,37.69
09.08.2021 14:08:18.167,37.69
09.08.2021 14:08:18.911,37.69
09.08.2021 14:08:19.139,37.69
09.08.2021 14:08:19.956,37.42
09.08.2021 14:08:20.189,37.42
09.08.2021 14:08:20.921,36.66
09.08.2021 14:08:21.173,36.66
09.08.2021 14:08:21.905,36.50
09.08.2021 14:08:22.171,36.50
09.08.2021 14:08:22.957,36.44
09.08.2021 14:08:23.981,36.44
09.08.2021 14:08:24.206,36.44
09.08.2021 14:08:24.971,36.37
09.08.2021 14:08:25.187,36.37
09.08.2021 14:08:25.931,36.34
09.08.2021 14:08:26.172,36.34
09.08.2021 14:08:26.948,36.36
09.08.2021 14:08:27.183,36.60
09.08.2021 14:08:27.907,36.60
09.08.2021 14:08:28.149,36.60
09.08.2021 14:08:28.898,36.38
09.08.2021 14:08:29.145,37.62
09.08.2021 14:08:29.948,37.62
09.08.2021 14:08:30.179,37.62
09.08.2021 14:08:30.905,37.78
09.08.2021 14:08:31.986,37.78
09.08.2021 14:08:32.225,37.78
09.08.2021 14:08:32.881,37.37
09.08.2021 14:08:33.125,37.37
09.08.2021 14:08:33.971,36.91
09.08.2021 14:08:34.197,36.33
09.08.2021 14:08:34.994,36.33
09.08.2021 14:08:35.231,36.29
09.08.2021 14:08:35.918,36.29
09.08.2021 14:08:36.172,36.29
09.08.2021 14:08:37.008,36.27
09.08.2021 14:08:37.229,36.27
09.08.2021 14:08:37.988,36.34
09.08.2021 14:08:38.221,36.34
09.08.2021 14:08:38.959,37.09
09.08.2021 14:08:39.209,37.09
09.08.2021 14:08:39.969,37.78
09.08.2021 14:08:40.213,37.78
09.08.2021 14:08:40.928,37.46
09.08.2021 14:08:41.183,37.46
09.08.2021 14:08:41.959,36.31
09.08.2021 14:08:42.938,36.31
09.08.2021 14:08:43.180,36.31
09.08.2021 14:08:43.904,36.22
09.08.2021 14:08:44.136,36.22
09.08.2021 14:08:44.959,36.31
09.08.2021 14:08:45.969,36.31
09.08.2021 14:08:46.183,36.31
09.08.2021 14:08:46.928,36.43
09.08.2021 14:08:47.161,36.43
09.08.2021 14:08:47.954,36.60
09.08.2021 14:08:48.172,36.60
09.08.2021 14:08:48.909,36.59
09.08.2021 14:08:49.959,36.59
09.08.2021 14:08:50.928,36.59
09.08.2021 14:08:51.179,36.59
09.08.2021 14:08:51.908,36.54
09.08.2021 14:08:52.899,36.54
09.08.2021 14:08:53.147,36.54
09.08.2021 14:08:53.949,36.67
09.08.2021 14:08:54.176,36.67
09.08.2021 14:08:54.908,36.62
09.08.2021 14:08:55.173,36.62
09.08.2021 14:08:55.938,36.65
09.08.2021 14:08:56.180,36.65
09.08.2021 14:08:56.890,36.73
09.08.2021 14:08:57.979,36.73
09.08.2021 14:08:58.207,36.73
09.08.2021 14:08:58.931,36.76
09.08.2021 14:08:59.180,36.76
09.08.2021 14:08:59.929,36.72
09.08.2021 14:09:00.180,36.72
09.08.2021 14:09:00.937,36.75
09.08.2021 14:09:01.185,36.75
09.08.2021 14:09:01.950,36.80
09.08.2021 14:09:02.179,36.80
09.08.2021 14:09:02.889,36.82
09.08.2021 14:09:03.128,36.82
09.08.2021 14:09:03.980,36.89
09.08.2021 14:09:04.279,36.89
09.08.2021 14:09:04.900,36.90
09.08.2021 14:09:05.176,36.90
09.08.2021 14:09:05.984,36.82
09.08.2021 14:09:06.193,36.86
09.08.2021 14:09:06.906,36.86
09.08.2021 14:09:07.149,36.86
09.08.2021 14:09:07.897,36.85
09.08.2021 14:09:08.986,36.85
09.08.2021 14:09:09.213,36.85
09.08.2021 14:09:09.909,36.79
09.08.2021 14:09:10.163,36.79
09.08.2021 14:09:10.989,36.80
09.08.2021 14:09:11.205,36.80
09.08.2021 14:09:11.895,36.76
09.08.2021 14:09:12.903,36.76
09.08.2021 14:09:13.936,36.76
09.08.2021 14:09:14.164,36.76
09.08.2021 14:09:14.931,36.66
09.08.2021 14:09:15.181,36.66
09.08.2021 14:09:15.909,36.55
09.08.2021 14:09:16.166,36.55
09.08.2021 14:09:16.937,36.62
09.08.2021 14:09:17.199,36.62
09.08.2021 14:09:17.986,37.56
09.08.2021 14:09:18.981,37.56
09.08.2021 14:09:19.997,37.56
09.08.2021 14:09:20.231,37.50
09.08.2021 14:09:20.928,37.50
09.08.2021 14:09:21.181,37.50
09.08.2021 14:09:21.943,36.70
