date, power
09.08.2021 09:41:11.686,2.15
09.08.2021 09:41:12.675,2.15
09.08.2021 09:41:13.697,1.79
09.08.2021 09:41:14.685,1.79
09.08.2021 09:41:15.677,0.36
09.08.2021 09:41:16.697,1.07
09.08.2021 09:41:17.681,1.07
09.08.2021 09:41:18.675,1.07
09.08.2021 09:41:20.112,1.07
09.08.2021 09:41:20.684,1.43
09.08.2021 09:41:21.674,1.43
09.08.2021 09:41:22.698,1.07
09.08.2021 09:41:23.683,1.07
09.08.2021 09:41:24.673,1.07
09.08.2021 09:41:25.696,1.07
09.08.2021 09:41:26.689,1.07
09.08.2021 09:41:27.675,0.72
09.08.2021 09:41:28.690,0.72
09.08.2021 09:41:29.685,0.72
09.08.2021 09:41:30.677,0.72
09.08.2021 09:41:32.322,0.72
09.08.2021 09:41:32.684,1.07
09.08.2021 09:41:33.677,1.07
09.08.2021 09:41:34.697,1.07
09.08.2021 09:41:35.685,1.07
09.08.2021 09:41:36.677,1.07
09.08.2021 09:41:37.699,0.72
09.08.2021 09:41:38.689,0.72
09.08.2021 09:41:39.676,0.36
09.08.2021 09:41:40.701,0.36
09.08.2021 09:41:41.680,0.72
09.08.2021 09:41:42.670,1.07
09.08.2021 09:41:43.692,1.07
09.08.2021 09:41:44.681,1.07
09.08.2021 09:41:45.674,1.08
09.08.2021 09:41:46.691,82.64
09.08.2021 09:41:47.679,82.64
09.08.2021 09:41:48.669,123.99
09.08.2021 09:41:49.662,134.17
09.08.2021 09:41:50.681,134.17
09.08.2021 09:41:51.673,230.97
09.08.2021 09:41:52.692,231.52
09.08.2021 09:41:53.681,231.52
09.08.2021 09:41:54.672,98.31
09.08.2021 09:41:55.659,22.89
09.08.2021 09:41:56.682,22.89
09.08.2021 09:41:57.668,35.87
09.08.2021 09:41:58.661,35.87
09.08.2021 09:41:59.686,2.15
09.08.2021 09:42:00.672,190.88
09.08.2021 09:42:01.661,190.88
09.08.2021 09:42:02.683,105.17
09.08.2021 09:42:03.673,105.17
09.08.2021 09:42:04.662,258.20
09.08.2021 09:42:05.684,258.20
09.08.2021 09:42:06.673,270.80
09.08.2021 09:42:07.662,388.63
09.08.2021 09:42:08.682,388.63
09.08.2021 09:42:09.672,353.41
09.08.2021 09:42:10.664,284.93
09.08.2021 09:42:11.682,237.99
09.08.2021 09:42:12.674,201.89
09.08.2021 09:42:13.691,10.71
09.08.2021 09:42:14.682,9.64
09.08.2021 09:42:15.673,8.58
09.08.2021 09:42:16.659,8.58
09.08.2021 09:42:17.679,8.58
09.08.2021 09:42:18.670,7.51
09.08.2021 09:42:19.658,7.51
09.08.2021 09:42:20.682,7.51
09.08.2021 09:42:21.673,6.08
09.08.2021 09:42:22.692,6.08
09.08.2021 09:42:23.679,111.69
09.08.2021 09:42:24.672,111.69
