date, temperature
09.08.2021 14:07:49.950,36.00
09.08.2021 14:07:50.882,36.00
09.08.2021 14:07:51.871,36.00
09.08.2021 14:07:52.894,36.00
09.08.2021 14:07:53.885,36.00
09.08.2021 14:07:54.874,36.00
09.08.2021 14:07:55.894,36.00
09.08.2021 14:07:56.885,36.00
09.08.2021 14:07:57.875,36.00
09.08.2021 14:07:58.894,36.00
09.08.2021 14:07:59.931,36.00
09.08.2021 14:08:00.877,36.00
09.08.2021 14:08:01.893,36.00
09.08.2021 14:08:02.883,36.00
09.08.2021 14:08:03.876,36.00
09.08.2021 14:08:04.895,36.00
09.08.2021 14:08:06.538,36.00
09.08.2021 14:08:06.881,36.00
09.08.2021 14:08:07.945,36.00
09.08.2021 14:08:08.914,36.00
09.08.2021 14:08:09.931,36.00
09.08.2021 14:08:10.922,36.00
09.08.2021 14:08:11.970,36.00
09.08.2021 14:08:12.901,36.00
09.08.2021 14:08:13.979,36.00
09.08.2021 14:08:14.915,36.00
09.08.2021 14:08:15.168,36.00
09.08.2021 14:08:15.965,36.00
09.08.2021 14:08:16.179,36.00
09.08.2021 14:08:16.992,36.00
09.08.2021 14:08:17.220,36.00
09.08.2021 14:08:17.947,36.00
09.08.2021 14:08:18.167,36.00
09.08.2021 14:08:18.911,36.00
09.08.2021 14:08:19.139,36.00
09.08.2021 14:08:19.956,36.00
09.08.2021 14:08:20.189,36.00
09.08.2021 14:08:20.921,36.00
09.08.2021 14:08:21.173,36.00
09.08.2021 14:08:21.905,36.00
09.08.2021 14:08:22.171,36.00
09.08.2021 14:08:22.957,36.00
09.08.2021 14:08:23.981,36.00
09.08.2021 14:08:24.206,36.00
09.08.2021 14:08:24.971,36.00
09.08.2021 14:08:25.187,36.00
09.08.2021 14:08:25.931,36.00
09.08.2021 14:08:26.172,36.00
09.08.2021 14:08:26.948,36.00
09.08.2021 14:08:27.183,36.00
09.08.2021 14:08:27.907,36.00
09.08.2021 14:08:28.149,36.00
09.08.2021 14:08:28.898,36.00
09.08.2021 14:08:29.145,37.00
09.08.2021 14:08:29.948,37.00
09.08.2021 14:08:30.179,37.00
09.08.2021 14:08:30.905,37.00
09.08.2021 14:08:31.986,37.00
09.08.2021 14:08:32.225,37.00
09.08.2021 14:08:32.881,37.00
09.08.2021 14:08:33.125,37.00
09.08.2021 14:08:33.971,37.00
09.08.2021 14:08:34.197,37.00
09.08.2021 14:08:34.994,37.00
09.08.2021 14:08:35.231,37.00
09.08.2021 14:08:35.918,37.00
09.08.2021 14:08:36.172,37.00
09.08.2021 14:08:37.008,37.00
09.08.2021 14:08:37.229,37.00
09.08.2021 14:08:37.988,37.00
09.08.2021 14:08:38.221,37.00
09.08.2021 14:08:38.959,37.00
09.08.2021 14:08:39.209,37.00
09.08.2021 14:08:39.969,37.00
09.08.2021 14:08:40.213,37.00
09.08.2021 14:08:40.928,37.00
09.08.2021 14:08:41.183,37.00
09.08.2021 14:08:41.959,37.00
09.08.2021 14:08:42.938,37.00
09.08.2021 14:08:43.180,37.00
09.08.2021 14:08:43.904,37.00
09.08.2021 14:08:44.136,37.00
09.08.2021 14:08:44.959,37.00
09.08.2021 14:08:45.969,37.00
09.08.2021 14:08:46.183,37.00
09.08.2021 14:08:46.928,37.00
09.08.2021 14:08:47.161,37.00
09.08.2021 14:08:47.954,37.00
09.08.2021 14:08:48.172,37.00
09.08.2021 14:08:48.909,37.00
09.08.2021 14:08:49.959,37.00
09.08.2021 14:08:50.928,37.00
09.08.2021 14:08:51.179,37.00
09.08.2021 14:08:51.908,37.00
09.08.2021 14:08:52.899,37.00
09.08.2021 14:08:53.147,37.00
09.08.2021 14:08:53.949,37.00
09.08.2021 14:08:54.176,37.00
09.08.2021 14:08:54.908,37.00
09.08.2021 14:08:55.173,37.00
09.08.2021 14:08:55.938,37.00
09.08.2021 14:08:56.180,37.00
09.08.2021 14:08:56.890,37.00
09.08.2021 14:08:57.979,37.00
09.08.2021 14:08:58.207,37.00
09.08.2021 14:08:58.931,37.00
09.08.2021 14:08:59.180,37.00
09.08.2021 14:08:59.929,37.00
09.08.2021 14:09:00.180,37.00
09.08.2021 14:09:00.937,37.00
09.08.2021 14:09:01.185,37.00
09.08.2021 14:09:01.950,37.00
09.08.2021 14:09:02.179,37.00
09.08.2021 14:09:02.889,37.00
09.08.2021 14:09:03.128,37.00
09.08.2021 14:09:03.980,37.00
09.08.2021 14:09:04.279,37.00
09.08.2021 14:09:04.900,37.00
09.08.2021 14:09:05.176,37.00
09.08.2021 14:09:05.984,37.00
09.08.2021 14:09:06.193,37.00
09.08.2021 14:09:06.906,37.00
09.08.2021 14:09:07.149,37.00
09.08.2021 14:09:07.897,37.00
09.08.2021 14:09:08.986,37.00
09.08.2021 14:09:09.213,37.00
09.08.2021 14:09:09.909,37.00
09.08.2021 14:09:10.163,37.00
09.08.2021 14:09:10.989,37.00
09.08.2021 14:09:11.205,37.00
09.08.2021 14:09:11.895,37.00
09.08.2021 14:09:12.903,37.00
09.08.2021 14:09:13.936,37.00
09.08.2021 14:09:14.164,37.00
09.08.2021 14:09:14.931,37.00
09.08.2021 14:09:15.181,37.00
09.08.2021 14:09:15.909,37.00
09.08.2021 14:09:16.166,37.00
09.08.2021 14:09:16.937,37.00
09.08.2021 14:09:17.199,37.00
09.08.2021 14:09:17.986,37.00
09.08.2021 14:09:18.981,37.00
09.08.2021 14:09:19.997,37.00
09.08.2021 14:09:20.231,37.00
09.08.2021 14:09:20.928,37.00
09.08.2021 14:09:21.181,37.00
09.08.2021 14:09:21.943,37.00
09.08.2021 14:09:22.191,37.00
09.08.2021 14:09:22.993,37.00
09.08.2021 14:09:23.235,37.00
09.08.2021 14:09:23.981,37.00
09.08.2021 14:09:24.188,37.00
09.08.2021 14:09:24.909,37.00
09.08.2021 14:09:25.163,37.00
09.08.2021 14:09:25.943,37.00
09.08.2021 14:09:26.189,37.00
09.08.2021 14:09:26.983,37.00
09.08.2021 14:09:27.201,37.00
09.08.2021 14:09:27.978,37.00
09.08.2021 14:09:28.214,37.00
09.08.2021 14:09:28.933,37.00
09.08.2021 14:09:29.181,37.00
09.08.2021 14:09:29.929,37.00
09.08.2021 14:09:30.179,37.00
09.08.2021 14:09:30.907,37.00
09.08.2021 14:09:31.162,37.00
09.08.2021 14:09:31.897,37.00
09.08.2021 14:09:32.148,37.00
09.08.2021 14:09:32.928,37.00
09.08.2021 14:09:33.185,37.00
09.08.2021 14:09:33.909,37.00
09.08.2021 14:09:34.211,37.00
09.08.2021 14:09:34.934,37.00
09.08.2021 14:09:35.185,37.00
09.08.2021 14:09:35.925,37.00
09.08.2021 14:09:36.174,37.00
09.08.2021 14:09:36.975,37.00
09.08.2021 14:09:37.195,37.00
09.08.2021 14:09:37.930,37.00
09.08.2021 14:09:38.178,37.00
09.08.2021 14:09:38.889,37.00
09.08.2021 14:09:39.135,37.00
09.08.2021 14:09:39.936,37.00
09.08.2021 14:09:40.962,37.00
09.08.2021 14:09:41.190,37.00
09.08.2021 14:09:41.944,37.00
09.08.2021 14:09:42.975,37.00
09.08.2021 14:09:43.197,37.00
09.08.2021 14:09:43.966,37.00
09.08.2021 14:09:44.188,37.00
09.08.2021 14:09:44.961,37.00
09.08.2021 14:09:45.185,37.00
09.08.2021 14:09:45.918,37.00
09.08.2021 14:09:46.181,37.00
09.08.2021 14:09:46.966,37.00
09.08.2021 14:09:47.186,37.00
09.08.2021 14:09:47.979,37.00
09.08.2021 14:09:48.219,37.00
09.08.2021 14:09:48.976,37.00
09.08.2021 14:09:49.196,37.00
09.08.2021 14:09:49.929,37.00
09.08.2021 14:09:50.167,37.00
09.08.2021 14:09:50.926,37.00
09.08.2021 14:09:51.141,37.00
09.08.2021 14:09:52.002,37.00
09.08.2021 14:09:52.237,37.00
09.08.2021 14:09:52.961,37.00
09.08.2021 14:09:53.194,37.00
09.08.2021 14:09:53.950,37.00
09.08.2021 14:09:54.186,37.00
09.08.2021 14:09:54.981,37.00
09.08.2021 14:09:55.209,37.00
09.08.2021 14:09:55.991,37.00
09.08.2021 14:09:56.210,37.00
09.08.2021 14:09:56.989,37.00
09.08.2021 14:09:57.226,37.00
09.08.2021 14:09:57.936,37.00
09.08.2021 14:09:58.991,37.00
09.08.2021 14:09:59.214,37.00
09.08.2021 14:09:59.949,37.00
09.08.2021 14:10:00.177,37.00
09.08.2021 14:10:00.941,37.00
09.08.2021 14:10:01.163,37.00
09.08.2021 14:10:01.960,37.00
09.08.2021 14:10:02.185,37.00
09.08.2021 14:10:02.990,37.00
09.08.2021 14:10:03.213,37.00
09.08.2021 14:10:03.941,37.00
09.08.2021 14:10:04.192,37.00
09.08.2021 14:10:04.994,37.00
09.08.2021 14:10:05.235,37.00
09.08.2021 14:10:05.917,37.00
09.08.2021 14:10:06.129,37.00
09.08.2021 14:10:07.008,37.00
09.08.2021 14:10:07.928,37.00
09.08.2021 14:10:08.177,37.00
09.08.2021 14:10:08.920,37.00
09.08.2021 14:10:09.174,37.00
09.08.2021 14:10:09.970,37.00
09.08.2021 14:10:10.203,37.00
09.08.2021 14:10:10.928,37.00
09.08.2021 14:10:11.171,37.00
09.08.2021 14:10:11.920,37.00
09.08.2021 14:10:12.173,37.00
09.08.2021 14:10:12.967,37.00
09.08.2021 14:10:13.199,37.00
09.08.2021 14:10:13.907,37.00
09.08.2021 14:10:14.161,37.00
09.08.2021 14:10:14.917,37.00
09.08.2021 14:10:15.142,37.00
09.08.2021 14:10:15.907,37.00
09.08.2021 14:10:16.162,37.00
09.08.2021 14:10:16.958,37.00
09.08.2021 14:10:17.173,37.00
09.08.2021 14:10:18.008,37.00
09.08.2021 14:10:19.007,37.00
09.08.2021 14:10:19.229,37.00
09.08.2021 14:10:19.930,37.00
09.08.2021 14:10:20.174,37.00
09.08.2021 14:10:20.984,37.00
09.08.2021 14:10:21.222,37.00
09.08.2021 14:10:22.001,37.00
09.08.2021 14:10:22.230,37.00
09.08.2021 14:10:22.900,37.00
09.08.2021 14:10:23.147,37.00
09.08.2021 14:10:23.890,37.00
09.08.2021 14:10:24.136,37.00
09.08.2021 14:10:25.002,37.00
09.08.2021 14:10:25.225,37.00
09.08.2021 14:10:25.934,37.00
09.08.2021 14:10:26.174,37.00
09.08.2021 14:10:26.947,37.00
09.08.2021 14:10:27.174,37.00
09.08.2021 14:10:27.938,37.00
09.08.2021 14:10:28.172,37.00
09.08.2021 14:10:28.901,37.00
09.08.2021 14:10:29.147,37.00
09.08.2021 14:10:29.887,37.00
09.08.2021 14:10:30.130,37.00
09.08.2021 14:10:30.919,37.00
09.08.2021 14:10:31.151,37.00
09.08.2021 14:10:31.957,37.00
09.08.2021 14:10:32.195,37.00
09.08.2021 14:10:32.947,37.00
09.08.2021 14:10:33.975,37.00
09.08.2021 14:10:34.222,37.00
09.08.2021 14:10:34.969,37.00
09.08.2021 14:10:35.194,37.00
09.08.2021 14:10:35.921,37.00
09.08.2021 14:10:36.171,37.00
09.08.2021 14:10:36.967,37.00
09.08.2021 14:10:37.199,37.00
09.08.2021 14:10:37.960,37.00
09.08.2021 14:10:38.173,37.00
09.08.2021 14:10:38.978,37.00
09.08.2021 14:10:39.215,37.00
09.08.2021 14:10:39.973,37.00
09.08.2021 14:10:40.214,37.00
09.08.2021 14:10:40.928,37.00
09.08.2021 14:10:41.147,37.00
09.08.2021 14:10:41.920,37.00
09.08.2021 14:10:42.173,37.00
09.08.2021 14:10:42.909,37.00
09.08.2021 14:10:43.119,37.00
09.08.2021 14:10:43.995,37.00
09.08.2021 14:10:44.218,37.00
09.08.2021 14:10:44.981,37.00
09.08.2021 14:10:45.210,37.00
09.08.2021 14:10:45.911,37.00
09.08.2021 14:10:46.171,37.00
09.08.2021 14:10:46.904,37.00
09.08.2021 14:10:47.140,37.00
09.08.2021 14:10:47.979,37.00
09.08.2021 14:10:49.005,37.00
09.08.2021 14:10:49.222,37.00
09.08.2021 14:10:49.995,37.00
09.08.2021 14:10:50.246,37.00
09.08.2021 14:10:50.928,37.00
09.08.2021 14:10:51.176,37.00
09.08.2021 14:10:51.978,37.00
09.08.2021 14:10:52.224,37.00
09.08.2021 14:10:52.990,37.00
09.08.2021 14:10:53.219,37.00
