date, current
09.08.2021 14:03:21.264,0.03
09.08.2021 14:03:22.229,0.03
09.08.2021 14:03:23.219,0.03
09.08.2021 14:03:24.205,0.03
09.08.2021 14:03:25.227,0.02
09.08.2021 14:03:26.219,0.03
09.08.2021 14:03:26.428,0.03
09.08.2021 14:03:27.246,0.03
09.08.2021 14:03:28.230,0.02
09.08.2021 14:03:29.336,0.02
09.08.2021 14:03:30.327,0.02
09.08.2021 14:03:31.316,0.02
09.08.2021 14:03:32.219,0.02
09.08.2021 14:03:33.236,0.03
09.08.2021 14:03:34.437,0.03
09.08.2021 14:03:35.245,0.02
09.08.2021 14:03:36.369,0.02
09.08.2021 14:03:37.224,0.02
09.08.2021 14:03:38.216,0.02
09.08.2021 14:03:39.422,0.02
09.08.2021 14:03:40.227,0.03
09.08.2021 14:03:40.365,0.03
09.08.2021 14:03:41.240,0.03
09.08.2021 14:03:42.242,0.03
09.08.2021 14:03:43.234,0.03
09.08.2021 14:03:44.221,0.02
09.08.2021 14:03:45.207,0.03
09.08.2021 14:03:46.225,0.03
09.08.2021 14:03:47.212,0.03
09.08.2021 14:03:48.205,0.03
09.08.2021 14:03:49.225,0.03
09.08.2021 14:03:50.217,0.02
09.08.2021 14:03:51.232,0.02
09.08.2021 14:03:52.225,0.02
09.08.2021 14:03:53.212,0.02
09.08.2021 14:03:54.201,0.02
09.08.2021 14:03:55.224,0.02
09.08.2021 14:03:56.214,0.02
09.08.2021 14:03:56.432,0.02
09.08.2021 14:03:57.208,0.02
09.08.2021 14:03:58.224,0.02
09.08.2021 14:03:59.213,0.02
09.08.2021 14:04:00.232,0.03
09.08.2021 14:04:01.309,0.03
09.08.2021 14:04:02.342,0.03
09.08.2021 14:04:02.547,0.03
09.08.2021 14:04:03.270,0.03
09.08.2021 14:04:03.490,0.03
09.08.2021 14:04:04.327,0.02
09.08.2021 14:04:04.549,0.02
09.08.2021 14:04:05.244,0.02
09.08.2021 14:04:05.481,0.02
09.08.2021 14:04:06.284,0.02
09.08.2021 14:04:06.589,0.02
09.08.2021 14:04:07.237,0.02
09.08.2021 14:04:07.495,0.02
09.08.2021 14:04:08.286,0.02
09.08.2021 14:04:08.500,0.02
09.08.2021 14:04:09.298,0.02
09.08.2021 14:04:09.533,0.02
09.08.2021 14:04:10.296,0.02
09.08.2021 14:04:10.587,0.02
09.08.2021 14:04:11.325,0.02
09.08.2021 14:04:11.557,0.02
09.08.2021 14:04:12.279,0.03
09.08.2021 14:04:12.498,4.46
09.08.2021 14:04:13.238,4.46
09.08.2021 14:04:13.530,4.46
09.08.2021 14:04:14.333,4.46
09.08.2021 14:04:14.646,-1.94
09.08.2021 14:04:15.243,0.06
09.08.2021 14:04:15.534,0.06
09.08.2021 14:04:16.345,0.09
09.08.2021 14:04:16.640,0.09
09.08.2021 14:04:17.286,0.09
09.08.2021 14:04:17.542,0.03
09.08.2021 14:04:18.304,0.03
09.08.2021 14:04:18.537,0.03
09.08.2021 14:04:19.287,0.03
09.08.2021 14:04:20.279,0.03
09.08.2021 14:04:20.508,0.03
09.08.2021 14:04:21.305,4.89
09.08.2021 14:04:22.305,17.91
09.08.2021 14:04:22.544,17.91
09.08.2021 14:04:23.277,27.23
09.08.2021 14:04:24.327,27.23
09.08.2021 14:04:24.562,27.23
09.08.2021 14:04:25.302,26.61
09.08.2021 14:04:25.524,26.61
09.08.2021 14:04:26.301,22.65
09.08.2021 14:04:26.544,22.65
09.08.2021 14:04:27.310,22.65
09.08.2021 14:04:28.308,19.57
09.08.2021 14:04:28.566,19.57
09.08.2021 14:04:29.306,19.57
09.08.2021 14:04:29.598,17.35
09.08.2021 14:04:30.309,16.43
09.08.2021 14:04:30.827,16.43
09.08.2021 14:04:31.354,16.43
09.08.2021 14:04:31.650,16.43
09.08.2021 14:04:31.867,16.43
09.08.2021 14:04:32.377,16.20
09.08.2021 14:04:33.302,16.20
09.08.2021 14:04:33.549,16.20
09.08.2021 14:04:34.366,16.39
09.08.2021 14:04:34.597,16.39
09.08.2021 14:04:35.307,0.41
09.08.2021 14:04:36.330,0.41
09.08.2021 14:04:36.574,0.41
09.08.2021 14:04:37.333,0.39
09.08.2021 14:04:37.592,0.39
09.08.2021 14:04:38.340,0.39
09.08.2021 14:04:38.633,0.29
09.08.2021 14:04:39.321,0.38
09.08.2021 14:04:40.334,0.38
09.08.2021 14:04:41.323,0.25
09.08.2021 14:04:41.549,0.25
09.08.2021 14:04:42.302,-5.46
09.08.2021 14:04:42.543,-5.46
09.08.2021 14:04:43.333,-4.27
09.08.2021 14:04:43.578,-4.27
09.08.2021 14:04:44.333,0.28
09.08.2021 14:04:44.569,0.28
09.08.2021 14:04:45.330,0.02
09.08.2021 14:04:45.551,0.02
09.08.2021 14:04:46.331,0.02
09.08.2021 14:04:46.582,0.02
09.08.2021 14:04:47.332,0.03
09.08.2021 14:04:48.530,0.03
09.08.2021 14:04:48.757,0.03
09.08.2021 14:04:49.326,0.03
09.08.2021 14:04:50.212,0.02
09.08.2021 14:04:51.235,0.02
09.08.2021 14:04:52.223,0.03
09.08.2021 14:04:53.212,0.03
09.08.2021 14:04:54.248,0.02
09.08.2021 14:04:55.224,0.02
09.08.2021 14:04:56.217,0.03
09.08.2021 14:07:42.031,0.01
09.08.2021 14:07:42.870,0.01
09.08.2021 14:07:43.893,0.01
09.08.2021 14:07:44.882,0.03
09.08.2021 14:07:44.998,0.03
09.08.2021 14:07:45.868,0.03
09.08.2021 14:07:46.894,0.03
09.08.2021 14:07:47.876,0.03
