date, battery
09.08.2021 14:03:21.264,67.00
09.08.2021 14:03:22.229,67.00
09.08.2021 14:03:23.219,67.00
09.08.2021 14:03:24.205,67.00
09.08.2021 14:03:25.227,67.00
09.08.2021 14:03:26.219,67.00
09.08.2021 14:03:26.428,67.00
09.08.2021 14:03:27.246,67.00
09.08.2021 14:03:28.230,67.00
09.08.2021 14:03:29.336,67.00
09.08.2021 14:03:30.327,67.00
09.08.2021 14:03:31.316,67.00
09.08.2021 14:03:32.219,67.00
09.08.2021 14:03:33.236,67.00
09.08.2021 14:03:34.437,67.00
09.08.2021 14:03:35.245,67.00
09.08.2021 14:03:36.369,67.00
09.08.2021 14:03:37.224,67.00
09.08.2021 14:03:38.216,67.00
09.08.2021 14:03:39.422,67.00
09.08.2021 14:03:40.227,67.00
09.08.2021 14:03:40.365,67.00
09.08.2021 14:03:41.240,67.00
09.08.2021 14:03:42.242,67.00
09.08.2021 14:03:43.234,67.00
09.08.2021 14:03:44.221,67.00
09.08.2021 14:03:45.207,67.00
09.08.2021 14:03:46.225,67.00
09.08.2021 14:03:47.212,67.00
09.08.2021 14:03:48.205,67.00
09.08.2021 14:03:49.225,67.00
09.08.2021 14:03:50.217,67.00
09.08.2021 14:03:51.232,67.00
09.08.2021 14:03:52.225,67.00
09.08.2021 14:03:53.212,67.00
09.08.2021 14:03:54.201,67.00
09.08.2021 14:03:55.224,67.00
09.08.2021 14:03:56.214,67.00
09.08.2021 14:03:56.432,67.00
09.08.2021 14:03:57.208,67.00
09.08.2021 14:03:58.224,67.00
09.08.2021 14:03:59.213,67.00
09.08.2021 14:04:00.232,67.00
09.08.2021 14:04:01.309,67.00
09.08.2021 14:04:02.342,67.00
09.08.2021 14:04:02.547,67.00
09.08.2021 14:04:03.270,67.00
09.08.2021 14:04:03.490,67.00
09.08.2021 14:04:04.327,67.00
09.08.2021 14:04:04.549,67.00
09.08.2021 14:04:05.244,67.00
09.08.2021 14:04:05.481,67.00
09.08.2021 14:04:06.284,67.00
09.08.2021 14:04:06.589,67.00
09.08.2021 14:04:07.237,67.00
09.08.2021 14:04:07.495,67.00
09.08.2021 14:04:08.286,67.00
09.08.2021 14:04:08.500,67.00
09.08.2021 14:04:09.298,67.00
09.08.2021 14:04:09.533,67.00
09.08.2021 14:04:10.296,67.00
09.08.2021 14:04:10.587,67.00
09.08.2021 14:04:11.325,67.00
09.08.2021 14:04:11.557,67.00
09.08.2021 14:04:12.279,67.00
09.08.2021 14:04:12.498,67.00
09.08.2021 14:04:13.238,67.00
09.08.2021 14:04:13.530,67.00
09.08.2021 14:04:14.333,67.00
09.08.2021 14:04:14.646,67.00
09.08.2021 14:04:15.243,67.00
09.08.2021 14:04:15.534,67.00
09.08.2021 14:04:16.345,67.00
09.08.2021 14:04:16.640,67.00
09.08.2021 14:04:17.286,67.00
09.08.2021 14:04:17.542,67.00
09.08.2021 14:04:18.304,67.00
09.08.2021 14:04:18.537,67.00
09.08.2021 14:04:19.287,67.00
09.08.2021 14:04:20.279,67.00
09.08.2021 14:04:20.508,67.00
09.08.2021 14:04:21.305,67.00
09.08.2021 14:04:22.305,67.00
09.08.2021 14:04:22.544,67.00
09.08.2021 14:04:23.277,67.00
09.08.2021 14:04:24.327,67.00
09.08.2021 14:04:24.562,66.00
09.08.2021 14:04:25.302,66.00
09.08.2021 14:04:25.524,66.00
09.08.2021 14:04:26.301,66.00
09.08.2021 14:04:26.544,66.00
09.08.2021 14:04:27.310,66.00
09.08.2021 14:04:28.308,66.00
09.08.2021 14:04:28.566,66.00
09.08.2021 14:04:29.306,66.00
09.08.2021 14:04:29.598,66.00
09.08.2021 14:04:30.309,66.00
09.08.2021 14:04:30.827,66.00
09.08.2021 14:04:31.354,66.00
09.08.2021 14:04:31.650,66.00
09.08.2021 14:04:31.867,66.00
09.08.2021 14:04:32.377,66.00
09.08.2021 14:04:33.302,66.00
09.08.2021 14:04:33.549,66.00
09.08.2021 14:04:34.366,66.00
09.08.2021 14:04:34.597,66.00
09.08.2021 14:04:35.307,66.00
09.08.2021 14:04:36.330,66.00
09.08.2021 14:04:36.574,66.00
09.08.2021 14:04:37.333,66.00
09.08.2021 14:04:37.592,66.00
09.08.2021 14:04:38.340,66.00
09.08.2021 14:04:38.633,67.00
09.08.2021 14:04:39.321,67.00
09.08.2021 14:04:40.334,67.00
09.08.2021 14:04:41.323,67.00
09.08.2021 14:04:41.549,67.00
09.08.2021 14:04:42.302,67.00
09.08.2021 14:04:42.543,67.00
09.08.2021 14:04:43.333,67.00
09.08.2021 14:04:43.578,67.00
09.08.2021 14:04:44.333,67.00
09.08.2021 14:04:44.569,67.00
09.08.2021 14:04:45.330,67.00
09.08.2021 14:04:45.551,67.00
09.08.2021 14:04:46.331,67.00
09.08.2021 14:04:46.582,67.00
09.08.2021 14:04:47.332,67.00
09.08.2021 14:04:48.530,67.00
09.08.2021 14:04:48.757,67.00
09.08.2021 14:04:49.326,67.00
09.08.2021 14:04:50.212,67.00
09.08.2021 14:04:51.235,67.00
09.08.2021 14:04:52.223,67.00
09.08.2021 14:04:53.212,67.00
09.08.2021 14:04:54.248,67.00
09.08.2021 14:04:55.224,67.00
09.08.2021 14:04:56.217,67.00
09.08.2021 14:07:42.031,67.00
09.08.2021 14:07:42.870,67.00
09.08.2021 14:07:43.893,67.00
09.08.2021 14:07:44.882,67.00
09.08.2021 14:07:44.998,67.00
09.08.2021 14:07:45.868,67.00
09.08.2021 14:07:46.894,67.00
09.08.2021 14:07:47.876,67.00
09.08.2021 14:07:49.015,67.00
