date, power
09.08.2021 14:07:49.950,1.13
09.08.2021 14:07:50.882,1.13
09.08.2021 14:07:51.871,0.75
09.08.2021 14:07:52.894,0.75
09.08.2021 14:07:53.885,1.13
09.08.2021 14:07:54.874,1.13
09.08.2021 14:07:55.894,0.75
09.08.2021 14:07:56.885,0.75
09.08.2021 14:07:57.875,0.75
09.08.2021 14:07:58.894,0.75
09.08.2021 14:07:59.931,0.75
09.08.2021 14:08:00.877,0.75
09.08.2021 14:08:01.893,0.75
09.08.2021 14:08:02.883,1.13
09.08.2021 14:08:03.876,1.13
09.08.2021 14:08:04.895,0.75
09.08.2021 14:08:06.538,1.13
09.08.2021 14:08:06.881,1.13
09.08.2021 14:08:07.945,0.75
09.08.2021 14:08:08.914,0.75
09.08.2021 14:08:09.931,0.75
09.08.2021 14:08:10.922,1.13
09.08.2021 14:08:11.970,1.13
09.08.2021 14:08:12.901,1.13
09.08.2021 14:08:13.979,1.13
09.08.2021 14:08:14.915,0.75
09.08.2021 14:08:15.168,0.75
09.08.2021 14:08:15.965,0.75
09.08.2021 14:08:16.179,0.75
09.08.2021 14:08:16.992,1.13
09.08.2021 14:08:17.220,1.13
09.08.2021 14:08:17.947,1.13
09.08.2021 14:08:18.167,1.13
09.08.2021 14:08:18.911,0.75
09.08.2021 14:08:19.139,0.75
09.08.2021 14:08:19.956,244.73
09.08.2021 14:08:20.189,244.73
09.08.2021 14:08:20.921,740.17
09.08.2021 14:08:21.173,740.17
09.08.2021 14:08:21.905,763.22
09.08.2021 14:08:22.171,763.22
09.08.2021 14:08:22.957,776.54
09.08.2021 14:08:23.981,776.54
09.08.2021 14:08:24.206,776.54
09.08.2021 14:08:24.971,784.86
09.08.2021 14:08:25.187,784.86
09.08.2021 14:08:25.931,775.50
09.08.2021 14:08:26.172,775.50
09.08.2021 14:08:26.948,775.50
09.08.2021 14:08:27.183,713.75
09.08.2021 14:08:27.907,605.36
09.08.2021 14:08:28.149,605.36
09.08.2021 14:08:28.898,726.14
09.08.2021 14:08:29.145,726.14
09.08.2021 14:08:29.948,120.01
09.08.2021 14:08:30.179,120.01
09.08.2021 14:08:30.905,183.99
09.08.2021 14:08:31.986,183.99
09.08.2021 14:08:32.225,183.99
09.08.2021 14:08:32.881,183.99
09.08.2021 14:08:33.125,143.87
09.08.2021 14:08:33.971,351.38
09.08.2021 14:08:34.197,783.64
09.08.2021 14:08:34.994,783.64
09.08.2021 14:08:35.231,784.59
09.08.2021 14:08:35.918,784.59
09.08.2021 14:08:36.172,784.59
09.08.2021 14:08:37.008,788.51
09.08.2021 14:08:37.229,788.51
09.08.2021 14:08:37.988,788.51
09.08.2021 14:08:38.221,738.79
09.08.2021 14:08:38.959,401.31
09.08.2021 14:08:39.209,401.31
09.08.2021 14:08:39.969,401.31
09.08.2021 14:08:40.213,278.44
09.08.2021 14:08:40.928,278.44
09.08.2021 14:08:41.183,67.05
09.08.2021 14:08:41.959,786.11
09.08.2021 14:08:42.938,786.11
09.08.2021 14:08:43.180,786.11
09.08.2021 14:08:43.904,786.11
09.08.2021 14:08:44.136,779.45
09.08.2021 14:08:44.959,704.05
09.08.2021 14:08:45.969,704.05
09.08.2021 14:08:46.183,704.05
09.08.2021 14:08:46.928,584.70
09.08.2021 14:08:47.161,584.70
09.08.2021 14:08:47.954,474.70
09.08.2021 14:08:48.172,474.70
09.08.2021 14:08:48.909,494.70
09.08.2021 14:08:49.959,494.70
09.08.2021 14:08:50.928,494.70
09.08.2021 14:08:51.179,494.70
09.08.2021 14:08:51.908,519.60
09.08.2021 14:08:52.899,519.60
09.08.2021 14:08:53.147,519.60
09.08.2021 14:08:53.949,430.51
09.08.2021 14:08:54.176,430.51
09.08.2021 14:08:54.908,437.24
09.08.2021 14:08:55.173,437.24
