date, voltage
09.08.2021 09:41:11.686,35.80
09.08.2021 09:41:12.675,35.81
09.08.2021 09:41:13.697,35.81
09.08.2021 09:41:14.685,35.81
09.08.2021 09:41:15.677,35.81
09.08.2021 09:41:16.697,35.81
09.08.2021 09:41:17.681,35.82
09.08.2021 09:41:18.675,35.82
09.08.2021 09:41:20.112,35.82
09.08.2021 09:41:20.684,35.82
09.08.2021 09:41:21.674,35.82
09.08.2021 09:41:22.698,35.82
09.08.2021 09:41:23.683,35.82
09.08.2021 09:41:24.673,35.83
09.08.2021 09:41:25.696,35.83
09.08.2021 09:41:26.689,35.83
09.08.2021 09:41:27.675,35.83
09.08.2021 09:41:28.690,35.83
09.08.2021 09:41:29.685,35.83
09.08.2021 09:41:30.677,35.83
09.08.2021 09:41:32.322,35.83
09.08.2021 09:41:32.684,35.83
09.08.2021 09:41:33.677,35.83
09.08.2021 09:41:34.697,35.83
09.08.2021 09:41:35.685,35.83
09.08.2021 09:41:36.677,35.83
09.08.2021 09:41:37.699,35.83
09.08.2021 09:41:38.689,35.83
09.08.2021 09:41:39.676,35.83
09.08.2021 09:41:40.701,35.83
09.08.2021 09:41:41.680,35.83
09.08.2021 09:41:42.670,35.83
09.08.2021 09:41:43.692,35.83
09.08.2021 09:41:44.681,35.84
09.08.2021 09:41:45.674,35.84
09.08.2021 09:41:46.691,35.62
09.08.2021 09:41:47.679,35.77
09.08.2021 09:41:48.669,35.63
09.08.2021 09:41:49.662,35.59
09.08.2021 09:41:50.681,35.66
09.08.2021 09:41:51.673,35.48
09.08.2021 09:41:52.692,35.40
09.08.2021 09:41:53.681,35.62
09.08.2021 09:41:54.672,35.76
09.08.2021 09:41:55.659,35.77
09.08.2021 09:41:56.682,35.79
09.08.2021 09:41:57.668,35.87
09.08.2021 09:41:58.661,35.82
09.08.2021 09:41:59.686,35.82
09.08.2021 09:42:00.672,35.48
09.08.2021 09:42:01.661,35.65
09.08.2021 09:42:02.683,35.65
09.08.2021 09:42:03.673,35.69
09.08.2021 09:42:04.662,35.37
09.08.2021 09:42:05.684,35.37
09.08.2021 09:42:06.673,35.26
09.08.2021 09:42:07.662,34.98
09.08.2021 09:42:08.682,35.13
09.08.2021 09:42:09.672,35.22
09.08.2021 09:42:10.664,35.31
09.08.2021 09:42:11.682,35.42
09.08.2021 09:42:12.674,35.71
09.08.2021 09:42:13.691,35.72
09.08.2021 09:42:14.682,35.73
09.08.2021 09:42:15.673,35.74
09.08.2021 09:42:16.659,35.74
09.08.2021 09:42:17.679,35.75
09.08.2021 09:42:18.670,35.75
09.08.2021 09:42:19.658,35.75
09.08.2021 09:42:20.682,35.76
09.08.2021 09:42:21.673,35.76
09.08.2021 09:42:22.692,35.76
09.08.2021 09:42:23.679,35.57
09.08.2021 09:42:24.672,35.57
09.08.2021 09:42:25.662,35.75
09.08.2021 09:42:26.683,35.75
09.08.2021 09:42:27.673,35.71
09.08.2021 09:42:28.662,35.76
09.08.2021 09:42:29.681,35.76
09.08.2021 09:42:30.672,35.76
09.08.2021 09:42:31.662,35.72
09.08.2021 09:42:32.681,35.34
09.08.2021 09:42:33.672,34.94
09.08.2021 09:42:34.664,35.03
09.08.2021 09:42:35.682,35.09
09.08.2021 09:42:36.677,35.06
09.08.2021 09:42:37.663,35.01
09.08.2021 09:42:38.683,35.08
09.08.2021 09:42:39.672,35.13
09.08.2021 09:42:40.663,35.12
09.08.2021 09:42:41.682,35.15
09.08.2021 09:42:42.672,35.36
09.08.2021 09:42:43.658,35.36
09.08.2021 09:42:44.678,35.36
09.08.2021 09:42:45.669,35.88
09.08.2021 09:42:46.659,35.88
09.08.2021 09:42:47.679,35.80
09.08.2021 09:42:48.673,35.76
09.08.2021 09:42:49.657,35.73
09.08.2021 09:42:50.681,35.51
09.08.2021 09:42:51.670,35.17
09.08.2021 09:42:52.660,35.16
09.08.2021 09:42:53.678,34.98
09.08.2021 09:42:54.669,34.96
09.08.2021 09:42:55.688,35.22
09.08.2021 09:42:56.680,35.26
09.08.2021 09:42:57.673,35.23
09.08.2021 09:42:58.663,35.20
09.08.2021 09:42:59.681,35.15
09.08.2021 09:43:00.670,35.39
09.08.2021 09:43:01.660,35.52
09.08.2021 09:43:02.680,35.55
09.08.2021 09:43:03.674,35.55
09.08.2021 09:43:04.663,35.55
09.08.2021 09:43:05.682,35.55
09.08.2021 09:43:06.672,35.55
09.08.2021 09:43:07.662,35.36
09.08.2021 09:43:08.682,35.37
09.08.2021 09:43:09.673,35.37
09.08.2021 09:43:10.662,35.39
09.08.2021 09:43:11.683,35.39
09.08.2021 09:43:12.672,35.66
09.08.2021 09:43:13.662,35.27
09.08.2021 09:43:14.683,35.38
09.08.2021 09:43:15.674,35.45
