date, remaining distance
09.08.2021 09:39:11.663,18.38
09.08.2021 09:39:11.933,18.38
09.08.2021 09:39:12.601,18.38
09.08.2021 09:39:13.623,18.38
09.08.2021 09:39:14.597,18.38
09.08.2021 09:39:15.598,18.38
09.08.2021 09:39:16.819,18.38
09.08.2021 09:39:17.601,18.38
09.08.2021 09:39:18.596,18.38
09.08.2021 09:39:19.620,18.38
09.08.2021 09:39:20.614,18.38
09.08.2021 09:39:21.590,18.38
09.08.2021 09:39:22.619,18.38
09.08.2021 09:39:23.610,18.38
09.08.2021 09:39:24.597,18.38
09.08.2021 09:39:25.614,18.38
09.08.2021 09:39:26.609,18.38
09.08.2021 09:39:27.602,18.38
09.08.2021 09:39:28.623,18.38
09.08.2021 09:39:30.289,18.38
09.08.2021 09:39:30.603,18.38
09.08.2021 09:39:30.829,18.38
09.08.2021 09:39:31.616,18.38
09.08.2021 09:39:32.636,18.38
09.08.2021 09:39:33.693,18.38
09.08.2021 09:39:33.927,17.88
09.08.2021 09:39:34.711,17.88
09.08.2021 09:39:35.640,16.89
09.08.2021 09:39:35.869,16.89
09.08.2021 09:39:36.633,16.89
09.08.2021 09:39:36.859,18.38
09.08.2021 09:39:37.623,18.38
09.08.2021 09:39:37.848,18.38
09.08.2021 09:39:38.673,18.38
09.08.2021 09:39:38.900,18.38
09.08.2021 09:39:39.619,18.38
09.08.2021 09:39:40.672,18.38
09.08.2021 09:39:41.667,17.88
09.08.2021 09:39:42.662,17.88
09.08.2021 09:39:43.622,18.38
09.08.2021 09:39:43.848,18.38
09.08.2021 09:39:44.671,18.38
09.08.2021 09:39:45.633,18.38
09.08.2021 09:39:45.859,18.38
09.08.2021 09:39:46.620,18.38
09.08.2021 09:39:47.673,18.38
09.08.2021 09:39:48.633,18.38
09.08.2021 09:39:49.623,18.38
09.08.2021 09:39:50.673,18.38
09.08.2021 09:39:51.633,18.38
09.08.2021 09:39:52.623,18.38
09.08.2021 09:39:53.670,18.38
09.08.2021 09:39:53.898,18.38
09.08.2021 09:39:54.632,18.38
09.08.2021 09:39:54.861,18.38
09.08.2021 09:39:55.653,18.38
09.08.2021 09:39:55.881,18.38
09.08.2021 09:39:56.703,18.38
09.08.2021 09:39:56.934,18.38
09.08.2021 09:39:57.693,18.38
09.08.2021 09:39:57.918,18.38
