date, battery
09.08.2021 09:39:11.663,37.00
09.08.2021 09:39:11.933,37.00
09.08.2021 09:39:12.601,37.00
09.08.2021 09:39:13.623,37.00
09.08.2021 09:39:14.597,37.00
09.08.2021 09:39:15.598,37.00
09.08.2021 09:39:16.819,37.00
09.08.2021 09:39:17.601,37.00
09.08.2021 09:39:18.596,37.00
09.08.2021 09:39:19.620,37.00
09.08.2021 09:39:20.614,37.00
09.08.2021 09:39:21.590,37.00
09.08.2021 09:39:22.619,37.00
09.08.2021 09:39:23.610,37.00
09.08.2021 09:39:24.597,37.00
09.08.2021 09:39:25.614,37.00
09.08.2021 09:39:26.609,37.00
09.08.2021 09:39:27.602,37.00
09.08.2021 09:39:28.623,37.00
09.08.2021 09:39:30.289,37.00
09.08.2021 09:39:30.603,37.00
09.08.2021 09:39:30.829,37.00
09.08.2021 09:39:31.616,37.00
09.08.2021 09:39:32.636,37.00
09.08.2021 09:39:33.693,37.00
09.08.2021 09:39:33.927,36.00
09.08.2021 09:39:34.711,36.00
09.08.2021 09:39:35.640,34.00
09.08.2021 09:39:35.869,34.00
09.08.2021 09:39:36.633,34.00
09.08.2021 09:39:36.859,37.00
09.08.2021 09:39:37.623,37.00
09.08.2021 09:39:37.848,37.00
09.08.2021 09:39:38.673,37.00
09.08.2021 09:39:38.900,37.00
09.08.2021 09:39:39.619,37.00
09.08.2021 09:39:40.672,37.00
09.08.2021 09:39:41.667,36.00
09.08.2021 09:39:42.662,36.00
09.08.2021 09:39:43.622,37.00
09.08.2021 09:39:43.848,37.00
09.08.2021 09:39:44.671,37.00
09.08.2021 09:39:45.633,37.00
09.08.2021 09:39:45.859,37.00
09.08.2021 09:39:46.620,37.00
09.08.2021 09:39:47.673,37.00
09.08.2021 09:39:48.633,37.00
09.08.2021 09:39:49.623,37.00
09.08.2021 09:39:50.673,37.00
09.08.2021 09:39:51.633,37.00
09.08.2021 09:39:52.623,37.00
09.08.2021 09:39:53.670,37.00
09.08.2021 09:39:53.898,37.00
09.08.2021 09:39:54.632,37.00
09.08.2021 09:39:54.861,37.00
09.08.2021 09:39:55.653,37.00
09.08.2021 09:39:55.881,37.00
09.08.2021 09:39:56.703,37.00
09.08.2021 09:39:56.934,37.00
09.08.2021 09:39:57.693,37.00
09.08.2021 09:39:57.918,37.00
09.08.2021 09:39:58.617,37.00
09.08.2021 09:39:59.703,37.00
09.08.2021 09:39:59.913,37.00
09.08.2021 09:40:00.632,37.00
09.08.2021 09:40:00.857,37.00
09.08.2021 09:40:01.623,37.00
09.08.2021 09:40:01.847,37.00
09.08.2021 09:40:02.703,37.00
09.08.2021 09:40:02.929,37.00
09.08.2021 09:40:03.663,37.00
09.08.2021 09:40:04.653,37.00
09.08.2021 09:40:04.876,37.00
09.08.2021 09:40:05.702,37.00
09.08.2021 09:40:05.928,37.00
09.08.2021 09:40:06.632,37.00
09.08.2021 09:40:07.653,37.00
09.08.2021 09:40:08.642,37.00
09.08.2021 09:40:09.633,37.00
09.08.2021 09:40:10.653,37.00
09.08.2021 09:40:11.643,37.00
09.08.2021 09:40:11.874,37.00
09.08.2021 09:40:12.663,37.00
09.08.2021 09:40:12.887,37.00
09.08.2021 09:40:13.649,37.00
09.08.2021 09:40:14.640,37.00
09.08.2021 09:40:15.663,37.00
09.08.2021 09:40:16.653,37.00
09.08.2021 09:40:16.878,37.00
09.08.2021 09:40:17.673,37.00
09.08.2021 09:40:18.660,37.00
09.08.2021 09:40:18.888,37.00
09.08.2021 09:40:19.653,37.00
09.08.2021 09:40:19.878,37.00
09.08.2021 09:40:20.731,37.00
09.08.2021 09:40:20.994,37.00
09.08.2021 09:40:21.676,37.00
09.08.2021 09:40:22.612,37.00
09.08.2021 09:40:23.599,37.00
09.08.2021 09:40:24.600,37.00
09.08.2021 09:40:25.706,37.00
09.08.2021 09:40:26.612,37.00
09.08.2021 09:40:27.602,37.00
09.08.2021 09:40:28.620,37.00
09.08.2021 09:40:29.607,37.00
09.08.2021 09:40:30.600,37.00
09.08.2021 09:40:31.619,37.00
09.08.2021 09:40:32.610,37.00
09.08.2021 09:40:33.603,37.00
09.08.2021 09:40:34.623,37.00
09.08.2021 09:40:35.613,37.00
09.08.2021 09:40:36.600,37.00
09.08.2021 09:40:37.620,37.00
09.08.2021 09:40:38.610,37.00
09.08.2021 09:40:39.603,37.00
09.08.2021 09:40:40.623,37.00
09.08.2021 09:40:41.612,37.00
09.08.2021 09:40:42.599,37.00
09.08.2021 09:40:43.619,37.00
09.08.2021 09:40:44.607,37.00
09.08.2021 09:40:45.598,37.00
09.08.2021 09:40:46.588,37.00
09.08.2021 09:40:47.613,37.00
09.08.2021 09:40:48.604,37.00
09.08.2021 09:40:49.622,37.00
09.08.2021 09:40:50.613,37.00
09.08.2021 09:40:51.602,37.00
09.08.2021 09:40:52.620,37.00
09.08.2021 09:40:53.613,37.00
09.08.2021 09:40:54.602,37.00
09.08.2021 09:40:55.621,36.00
09.08.2021 09:40:56.612,36.00
09.08.2021 09:40:57.600,36.00
09.08.2021 09:40:58.694,36.00
09.08.2021 09:40:59.685,36.00
09.08.2021 09:41:00.676,35.00
09.08.2021 09:41:01.663,35.00
09.08.2021 09:41:02.683,36.00
09.08.2021 09:41:03.676,36.00
09.08.2021 09:41:04.696,36.00
09.08.2021 09:41:05.688,36.00
09.08.2021 09:41:05.897,36.00
09.08.2021 09:41:06.677,36.00
09.08.2021 09:41:07.696,37.00
09.08.2021 09:41:08.687,37.00
09.08.2021 09:41:09.678,37.00
09.08.2021 09:41:10.694,37.00
