date, battery
09.08.2021 10:05:23.027,26.00
09.08.2021 10:05:23.513,25.00
09.08.2021 10:05:23.740,25.00
09.08.2021 10:05:24.597,25.00
09.08.2021 10:05:24.817,25.00
09.08.2021 10:05:25.585,25.00
09.08.2021 10:05:25.795,25.00
09.08.2021 10:05:26.604,25.00
09.08.2021 10:05:27.595,26.00
09.08.2021 10:05:27.810,26.00
09.08.2021 10:05:28.588,26.00
09.08.2021 10:05:29.604,26.00
09.08.2021 10:05:29.832,26.00
09.08.2021 10:05:30.591,26.00
09.08.2021 10:05:30.798,25.00
09.08.2021 10:05:31.585,25.00
09.08.2021 10:05:32.635,24.00
09.08.2021 10:05:33.595,24.00
09.08.2021 10:05:34.588,25.00
09.08.2021 10:05:34.798,26.00
09.08.2021 10:05:35.605,26.00
09.08.2021 10:05:35.832,26.00
09.08.2021 10:05:36.595,26.00
09.08.2021 10:05:36.818,26.00
09.08.2021 10:05:37.613,26.00
09.08.2021 10:05:38.605,26.00
09.08.2021 10:05:39.595,26.00
09.08.2021 10:05:40.616,26.00
09.08.2021 10:05:41.549,26.00
09.08.2021 10:05:41.778,26.00
09.08.2021 10:05:42.598,26.00
09.08.2021 10:05:42.828,26.00
09.08.2021 10:05:43.615,26.00
09.08.2021 10:05:43.844,26.00
09.08.2021 10:05:44.609,26.00
09.08.2021 10:05:44.834,26.00
09.08.2021 10:05:45.532,26.00
09.08.2021 10:05:46.578,26.00
09.08.2021 10:05:47.517,26.00
09.08.2021 10:05:48.531,26.00
09.08.2021 10:05:49.575,26.00
09.08.2021 10:05:50.517,26.00
09.08.2021 10:05:51.526,26.00
09.08.2021 10:05:52.528,26.00
09.08.2021 10:05:53.516,26.00
09.08.2021 10:05:54.534,26.00
09.08.2021 10:05:55.521,26.00
09.08.2021 10:05:56.514,26.00
09.08.2021 10:05:57.505,26.00
09.08.2021 10:05:58.528,26.00
09.08.2021 10:05:59.515,26.00
09.08.2021 10:06:00.538,26.00
09.08.2021 10:06:01.528,26.00
09.08.2021 10:06:02.518,26.00
09.08.2021 10:06:03.536,26.00
09.08.2021 10:06:04.527,26.00
09.08.2021 10:06:05.516,26.00
09.08.2021 10:06:06.639,26.00
09.08.2021 10:06:07.523,26.00
09.08.2021 10:06:08.512,26.00
09.08.2021 10:06:10.126,26.00
09.08.2021 10:06:10.521,26.00
09.08.2021 10:06:11.597,26.00
09.08.2021 10:06:12.537,26.00
09.08.2021 10:06:13.519,26.00
09.08.2021 10:06:14.514,26.00
09.08.2021 10:06:15.531,26.00
09.08.2021 10:06:16.524,26.00
09.08.2021 10:06:17.544,26.00
09.08.2021 10:06:18.835,26.00
09.08.2021 10:06:19.522,26.00
09.08.2021 10:06:20.517,26.00
